ID_c,N_c,N_clg,N_c_clg,Y_clg,Y_c,C_clg,C_c,ID_s,SQM,CA,VAR,SI,HAR,LAT,VC_c_2d,VC_c_3d,AVG(UTCI)_5:00,AVG(UTCI)_6:00,AVG(UTCI)_7:00,AVG(UTCI)_8:00,AVG(UTCI)_9:00,AVG(UTCI)_10:00,AVG(UTCI)_11:00,AVG(UTCI)_12:00,AVG(UTCI)_13:00,AVG(UTCI)_14:00,AVG(UTCI)_15:00,AVG(UTCI)_16:00,AVG(UTCI)_17:00,AVG(UTCI)_18:00,AVG(UTCI)_19:00,AVG(UTCI)_20:00,AVG(UTCI)_21:00,AVG(UTCI)_22:00,AVG(UTCI)_23:00,AVG(UTCI)_0:00,AVG(UTCI)_1:00,AVG(UTCI)_2:00,AVG(UTCI)_3:00,AVG(UTCI)_4:00
71,NA_N2,Churchill,NA_N2_Churchill,1958,1968,1900s,1900s,NW_19,375*375,267.513,3.451,1.001,1.042,24.376,0.000,0.000,16.41032,19.061479,23.382846,27.432717,32.223101,34.909408,36.589786,37.133244,38.042989,39.062419,37.86367,35.700047,32.267861,29.257126,26.738695,25.238558,21.304971,19.902024,18.887257,18.242816,17.870876,17.573931,16.940566,16.325065
72,NA_N3,Churchill,NA_N3_Churchill,1958,1968,1900s,1900s,NW_19,375*375,532.781,2.721,1.059,1.015,113.780,0.816,0.000,16.733143,19.04851,23.892592,29.031979,31.252301,33.598355,35.071915,35.529624,36.571688,37.083283,36.286522,34.984868,32.000561,28.885213,26.903664,25.570389,21.564995,20.105621,19.071163,18.415617,18.07427,17.785441,17.141265,16.522812
73,Cloister,Girton,Cloister_Girton,1869,1901,1800s,1900s,NW_20,375*375,3347.679,1.162,1.197,1.752,130.605,0.515,0.258,16.846097,19.544575,23.965305,28.294814,31.480169,33.991929,35.535676,36.412886,36.859502,37.215545,35.829651,34.510722,31.857489,29.18376,27.067164,25.766306,21.190932,20.043044,19.203276,18.541758,18.246426,17.981864,17.358951,16.739803
74,Woodlands,Girton,Woodlands_Girton,1869,1934,1800s,1900s,NW_20,375*375,3592.475,0.910,1.010,1.329,130.168,0.826,0.126,16.755004,19.591709,24.219866,28.917632,31.429301,33.88095,35.313023,36.392176,36.809085,37.445912,36.423767,35.350145,32.372208,29.295721,27.018703,25.802736,21.250578,20.095226,19.153334,18.492086,18.123913,17.857947,17.229242,16.596435
75,Ash,Girton,Ash_Girton,1869,2013,1800s,2000s,NW_20,375*375,760.892,2.229,1.500,2.549,131.253,0.000,0.000,16.35263,19.231264,26.784237,31.345761,34.387934,36.555568,37.115865,37.723269,38.057645,38.202493,36.099124,34.820229,32.047057,29.367737,26.935476,25.354274,20.948282,19.7828,18.875509,18.216634,17.869594,17.573474,16.937642,16.313557
76,Campbell,Girton,Campbell_Girton,1869,2004,1800s,2000s,NW_20,375*375,418.440,2.567,1.029,1.626,130.213,0.000,0.000,16.52025,19.370111,23.654567,28.480794,32.342082,35.159354,37.048065,38.031342,38.960263,39.964235,37.846892,36.483235,33.574167,29.58131,26.985993,25.464147,21.383108,20.005681,19.023598,18.389193,18.004718,17.716766,17.127128,16.478691
77,Front,Robinson,Front_Robinson,1977,1980,1900s,1900s,SW_21,225*225,707.126,2.955,1.150,2.751,55.767,0.000,0.000,16.503033,19.220723,23.922887,27.751797,30.803645,33.436692,36.089288,37.738429,38.064102,39.370558,37.763862,35.308321,31.789809,29.642436,26.915969,25.363595,21.339172,19.903095,18.870678,18.246401,17.952404,17.672596,17.059384,16.448268
78,Hershel,Robinson,Hershel_Robinson,1977,1980,1900s,1900s,SW_21,225*225,236.628,6.767,1.651,8.792,104.139,0.000,0.000,16.625662,19.599728,24.123874,29.327025,31.014242,32.626298,32.997733,33.984017,34.33508,35.678677,35.023998,33.319514,31.455766,29.756171,26.812087,25.275684,21.32676,19.987392,19.03523,18.412665,18.09365,17.799431,17.193773,16.596493
79,Long,Robinson,Long_Robinson,1977,1980,1900s,1900s,SW_21,225*225,298.625,7.206,1.981,12.277,7.110,0.000,0.000,16.50958,19.327465,24.611781,27.897015,30.580136,33.028224,34.739049,38.634899,36.714985,34.772936,34.20445,33.106794,31.31638,29.111337,26.752701,25.194811,20.885788,19.957802,19.136223,18.50604,18.110628,17.813189,17.242522,16.617569
80,Memorial,Clare,Memorial_Clare,1326,1986,1300s,1900s,SW_22,180*180,2461.406,2.013,1.183,3.118,0.445,0.636,0.216,16.776688,19.332796,23.99074,27.905248,30.658276,33.224281,35.231497,36.750088,36.732784,36.746941,35.8343,34.965462,32.273131,29.256462,27.172315,25.721683,21.013988,19.852493,18.968191,18.306095,18.046552,17.783446,17.130688,16.532537
